City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
446,Nabire,ID,85.86,broken clouds,-3.3667,135.4833,Hotel Nusantara I
447,Durg,IN,80.78,overcast clouds,21.1833,81.2833,MAITRI HOSTEL
448,Clarence Town,AU,76.14,overcast clouds,-32.5833,151.7833,River Downs Cottage
449,Wanlaweyn,SO,79.43,overcast clouds,2.6185,44.8938,GAASHAAN HOME
451,Wanning,CN,78.85,broken clouds,18.8003,110.3967,Paradise Hotel
452,Malaya,PH,86.0,broken clouds,14.3971,121.3385,Paraiso Resort
455,Saint-Joseph,RE,71.2,light rain,-21.3667,55.6167,"""Plantation Bed and Breakfast"
458,Garoua,CM,83.97,overcast clouds,9.3,13.4,Dreamland Hotel Annexe Bockle
463,Ahipara,NZ,70.43,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
469,Waingapu,ID,84.85,scattered clouds,-9.6567,120.2641,Pondok Wisata Elim
470,Senador Jose Porfirio,BR,74.5,moderate rain,-2.5908,-51.9542,Pousada Novo Horizonte
472,Samarai,PG,83.37,moderate rain,-10.6167,150.6667,Nuli Sapi
473,Mabaruma,GY,74.88,broken clouds,8.2,-59.7833,Monty Brooms Guest House
474,Gidam,IN,77.07,broken clouds,18.9833,81.4,Dhanshree Lodge And DormItory
476,Vao,NC,75.54,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
477,Pemangkat,ID,81.64,broken clouds,1.1667,108.9667,Ramah Kost KITA
478,Salur,IN,83.59,broken clouds,18.5333,83.2167,SATYAM NAIDU FARM HOUSE ( సత్యం నాయుడు వ్యవసాయ క్షేత్రం )
479,Yashan,CN,73.2,overcast clouds,22.1975,109.9419,Xin Kaibin Guan
480,Anandnagar,IN,81.39,clear sky,27.1,83.2833,Susham's Haveli
489,Lamar,US,75.36,broken clouds,33.6668,-95.5836,Kings Inn Paris TX
490,Meulaboh,ID,78.62,broken clouds,4.1363,96.1285,Kost Pria
494,Weligama,LK,79.14,scattered clouds,5.9667,80.4167,Weligama Bay Resort
495,Honiara,SB,84.87,overcast clouds,-9.4333,159.95,Heritage Park Hotel
496,Cam Ranh,VN,82.36,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
499,Conceicao Da Barra,BR,74.84,overcast clouds,-18.5933,-39.7322,Cricaré Praia Hotel
500,Marshall,US,71.65,clear sky,34.3834,-86.3333,Riverview Campground
501,Pilar,BR,76.93,broken clouds,-9.5972,-35.9567,Pousada e churrascaria Manguaba
504,Kokopo,PG,84.4,broken clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
506,Xapuri,BR,76.41,overcast clouds,-10.6517,-68.5044,Pousada dos Chapurys
511,Mahajanga,MG,73.42,few clouds,-15.7167,46.3167,Restaurant Greedy Coco Lodge Majunga
512,Mumford,GH,80.19,light rain,5.2618,-0.759,Spanish Villa
516,Axim,GH,78.94,light rain,4.8699,-2.2405,Axim Beach Resort And Spa
517,Hirara,JP,70.07,broken clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
518,Codrington,AU,71.24,few clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
521,Scottsboro,US,72.39,few clouds,34.6723,-86.0341,Budget Inn
524,Pokhara,NP,72.48,clear sky,28.2333,83.9833,OYO 170 Hotel View Point
525,Salinopolis,BR,78.19,light rain,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
527,Cotonou,BJ,84.18,scattered clouds,6.3654,2.4183,Novotel Cotonou Orisha
533,Ugoofaaru,MV,84.33,overcast clouds,5.6667,73.0,Ungoofaaru Inn
534,Ixtapa,MX,75.22,overcast clouds,20.7,-105.2,hotel la terminal
535,South Valley,US,77.18,scattered clouds,35.0101,-106.6781,desert palms rv park
544,Piacabucu,BR,81.32,scattered clouds,-10.4056,-36.4344,Piaçabuçu News
545,Angoche,MZ,78.82,clear sky,-16.2325,39.9086,Guest House HESADA
552,Estelle,US,77.0,clear sky,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
553,Broken Hill,AU,74.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
555,Tuxpan,MX,74.97,overcast clouds,19.55,-103.4,Hotel y Restaurante Campestre La Cabaña
558,Tra Vinh,VN,82.51,overcast clouds,9.9347,106.3453,Hồng Ân
559,Mocajuba,BR,73.74,overcast clouds,-2.5842,-49.5072,Hotel Saylon Mocajuba
563,Multai,IN,77.86,clear sky,21.7667,78.25,Satya sai homeopathic clinic
565,Sola,VU,84.87,broken clouds,-13.8833,167.55,Leumerus Bungalows
